text,theme,metre_simple,complexity_word,year,title
"

Он тощ, точно сучья. Небрит и мордаст.
Под ним третьи сутки
		трещит мой матрац.
Чугунная тень по стене нависает.
И губы вполхари, дымясь, полыхают.

«Приветик, — хрипит он, — российской поэзии.
Вам дать пистолетик? А может быть, лезвие?
Вы — гений? Так будьте ж циничнее к хаосу...
А может, покаемся?..
Послюним газетку и через минутку
свернем самокритику, как самокрутку?..»

Зачем он тебя обнимает при мне?
Зачем он мое примеряет кашне?
И щурит прищур от моих папирос...

Чур меня, чур!
SOS! SOS!

",Молитва,неклассический,простой,1963.0,АВТОПОРТРЕТ
"

На левосторонних трассах,
на путях правосторонних,
на путях потусторонних,
там, где аксиома власти
машет огненною палкой,
в аксиомах «влево», «вправо»
жизнь я прожил не без риска.
Есть единственная правда —
аксиома самоиска.

Умирая, мне татарин,
высланный из Симеиза,
впившись в полумесяц миски
алюминиевой, в замызге
подарил это заклятье.

Но сказал: «Не будешь счастлив».

Это пишут на вершинах
снежный человек и Ницше,
на левосторонних книгах,
на правосторонних книгах,
на броске самоубийства,
на самопознание наций
и на аксиоме Бога,
на губах авантюристки —
аксиома самоиска.

Но распятые ладони
аксиомы человека
путь указывали людям
то ли — влево, то ли — вправо...
Я искал на перекрестке
трассы духа с трассой Минской.
Слезничок сверкал лиловый
женщины само фракийской —
с крыльями, но безголовой.

В небе, как над рестораном,
букв горел порядок странный,
и в глазах сырые искры
я читал наоборотно:
	    А
	    К
	    С
	    И
	    О
	    М
	    А

	    С
	    А
	    М
	    О
	    И
	    С
	    К
	    А
И она сказала: «Кисик!
Современная мадонна
опровергла аксиомы
постбрижитбардовских сисек.
Что считалось аксиомой
групп повышенного риска,
стало нормой в каждом доме
и в номенклатурных списках.
На любви односторонней,
на любви наоборотной,
и на голубом пороке,
и на ненависти белой,
и на золотой разлуке
лишь — не высказать без виски! —
аксиома самоиска».

И сказал идущий мимо
в маскировочных болотах
с трупом музыки в футляре:
«Что написано на майках?
Что написано на лейблах
наших лейблгвардейских задниц?
Что написано на бунте
в стиле рока или диско?
Преодолевайте дисга-
рмонию, как учит Дзига».
В каждом самодоказуема
и законом наказуема —
чур, не путать с само сыском! —
аксиома самоиска.

Мухой полз Буонарроти,
крася на плафоне Сикста
Рай и Ад наоборотный —
аксиому самоиска.

Жил я в аксиоме Рая,
чуя аксиому Ада,
жизнью, а не самопиской,
и потерей самых близких
оборачивалась наша
аксиома самоиска.
Как я поздно слишком понял —
утаил татарин с миской —
смысл не только в самоноиске,
а к себе открытом иске!

Прости господи стояла
у машинного потока,
морща лобик ноной мыслью.
Хмуро вглядывалась в диски.
Замирала вместо лейбла
изумрудная стрекозка
на малиновой скуле.

Прости господи, машины,
прости господи, летели.
Что ты в них искала? Прынца
в «Волге» паны? Или папу
с пачкой зелени искала?
Почему не подошел я?
С полчаса ты столбенела
в напряжение. Вдруг, зажмурясь —
мол, ищите меня в волгах! —
Молча бросилась под тачку.
Среди тормозного визга
я ее не видел дрызга.
Прости, Господи, таксиста!
Срок мотать за проститутку?
Прости, Господи, эпоху.
Прости, Господи, страну.

Голова в крови скакала
по шоссе, сверкнув стрекозкой.
Что кричал открытый ротик
рядом с отскочившим диском?

Ни молитвы. Пи записки.
Прости, Господи, тебя.
Изумрудная стрекозка
рядом в воздухе стоит.

Прокрути обратно, Дзига!
Выпрыгни, скула, к стрекозке!
За ней — лобик, за ним — тело.
Встань с асфальта!

Дыши. Брысь в гараж, машина!
Жизнь, крути обратно диски!
«Как зовут тебя?» — Лариска.
Долго же я на игле торчала...»

Жизнь — лишь поиск воскресенья.

Мы стоим на перекрестке
трассы духа с трассой Минской —
вгиковский студент. Стрекозка.
Тени. Женщина с заминкой
в речи. Пес с ухом Мефисто.
И татарин симеизский.
Ужас от пережитого,
духа грязные поминки —
оглянусь — полно народу.
Все глядели в небо.

Где горит, как над воротами
перед выходом по списку,—
жизни крест наоборотный
	    А
	    К
	    С
	    И
	    О
	    М
	    А
А К С И О М А С А М О И С К А
	    С
	    А
	    М
	    О
	    И
	    С
	    К
	    А


",Прощение,неклассический,сложный,1988.0,Аксиома стрекозы
"

Дали девочке искру.
Не ириску, а искру,
искру поиска, искру риска,
искру дерзости олимпийской!
Можно сердце зажечь, можно -
		            печь,
можно
землю
к чертям
поджечь!

В папироске сгорает искорка.
И девчонка смеется искоса.

",Мотив чувства,не указан,простой,1958.0,Б. А.
"

Я сегодня приду
и спокойно скажу,
что двадцатый окончился век.
Свои книги сожгу,
твои платья сложу,
«Мы свободны,—скажу,—смена вех».
Отключится вода,
и включится звезда,
и забьешься ты в пляске своей.
Частым жабрам под стать
будут воздух хватать
треугольники жадных локтей.
Посреди темноты
заскользит, словно шрам,
след резинки над животом.
Я увижу, что ты —
пополам, пополам —
в этом веке и веке другом.
Обернусь я к гостям —
гости все пополам,
перерезаны в пояс столом.
Каждый в веке своем
мы по пояс живем,
под столом—в измерение другом.
«Разве был этот век?» —
ты ответишь под смех.
Современники дискотек
будут в пол нам стучать
и напомнят опять,
что бессмертен XX век.


",Время,не указан,сложный,1980.0,БАЛЛАДА
"

Партизанам Керченской каменоломни
Рояль вползал в каменоломню.
Его тащили на дрова
к замерзшим чанам и половням.
Он ждал удара топора!

Он был без ножек, черный ящик,
лежал на брюхе и гудел.
Он тяжело дышал, как ящер,
в пещерном логове людей.

А пальцы вспухшие алели.
На левой — два, на правой — пять...
Он
     опускался
	   на колени,
        чтобы до клавишей достать.

Семь пальцев бывшего завклуба!
И, обмороженно-суха,
с них, как с разваренного клубня,
дымясь, сползала шелуха.

Он с криком эти пальцы л ожил,
их красоту, их божество...
И было величайшей ложью
все, что игралось до него!

Все отраженья люстр, колонны.
Во мне ревет рояля сталь.
И я лежу в каменоломне.
И я огромен, как рояль.

Я отражаю штолен сажу.
Фигуры. Голод. Блеск костра.
И как коронного пассажа,
я жду удара топора.

",Мотив черного,не указан,простой,1958.0,БАЛЛАДА 41-го ГОДА
"

Вчера мой доктор произнес:
«Талант в вас, может, и возможен,
но ваш паяльник обморожен,
не суйтесь из дому в мороз».

О нос!..

Неотвратимы, как часы,
у нас, у вас, у капуцинов
по всем
законам
медицины
торжественно растут носы!

Они растут среди ночи
у всех сограждан знаменитых,
у сторожей,
у замминистров,
сопя бессонно, как сычи,
они прохладны и косы,
их бьют боксеры,
щемят двери,
но в скважины, подобно дрели,
соседок ввинчены носы!

(Их роль с мистической тревогой
интуитивно чуял Гоголь.)

Мой друг Букашкин пьяны были,
им снился сон:
подобно шпилю,
сбивая люстры и тазы,
пронзая потолки разбуженные,
над ним
рос
нос,
как чеки в булочной,
нанизывая этажи!

«К чему б?» — гадал он поутру.
Сказал я: «К Страшному суду.
К ревизии кредитных дел!»

30-го Букашкин сел.

О, вечный двигатель носов!
Носы длиннее — жизнь короче.
На бледных лицах среди ночи,
как коршун или же насос,
нас всех высасывает нос,

и, говорят, у эскимосов
есть поцелуй посредством носа...

но это нам не привилось.

",Сон,неклассический,сложный,1963.0,БАЛЛАДА-ДИССЕРТАЦИЯ
"

Завгар, ты - дружинник и член партбюро,
лицо твое в прессе почет обрело,
выходишь ты в полночь,
в кармане сжав гирю, —
«Опять изнасилованную убили!»
Спи мирно, держава. Дорогами слез
гуляет Варавва и ходит Христос.

По области сперму берут на анализ.
Сознались два нервных. Рок-группа созналась.
Но телеграфирует новая ночь —
убита с подругою твоя дочь.

Пирует с дружиною страшный завгар.
И молится мальчик на воли закал.
Повсюду мерещится крик из-под кляпа:
«Папа!»
А утром записка у нового трупа:
«Да здравствует террор! Подпольная группа».

По области почерк берут на анализ.
Расстрелян один. Еще восемь сознались.
Незримый Варавва в глуши земной
творит свой мини-тридцать седьмой.

- Скажи мне, прохожий, а ты не Варавва?
- Зачем мне, дружинник, делить твою славу?
Да разве облавою схватишь в снегах
присутствие дьявола в наших шагах?..

- Я городом шел, где забытый Шагал.
Стояла тюряга у края оврага,
верней, монастырь,
превращенный в тюрягу.

Там воет в наручниках
страшный завгар.
Неужто мы жили, молясь на Варавву?..
Прости нас, Боже правый!


",Прощение,не указан,простой,1980,БАЛЛАДА О ДВУХ
"

«Баллада? О точке?! О смертной пилюле?!»
Балда!
Вы забыли о пушкинской пуле!

Что ветры свистали, как в дыры кларнетов,
в пробитые головы лучших поэтов.

Стрелою пронзив самодурство и свинство,
к потомкам неслась траектория свиста!
И не было точки. А было — начало.

Мы в землю уходим, как в двери вокзала.
И точка тоннеля, как дуло, черна...
В бессмертье она?
Иль в безвестность она?..

Нет смерти. Нет точки. Есть путь пулевой —
вторая проекция той же прямой.

В природе по смете отсутствует точка.
Мы будем бессмертны. И это — точно!

",Сохранять и покидать,не указан,простой,1958.0,БАЛЛАДА ТОЧКИ
"

В море Балтийском тюленица выла,
молит красавица преисподней:
«Матку сожгли мне полихлорбифенилы.
Тюлени больше не воспроизводятся.

Не откажите балтийской тюленице!
Нас только сто на все море и водоросли...»
Что ты наделала, интеллигенция?
Совесть больше не воспроизводится.

Рвался Петр I к Балтийскому морю,
но неужели с пророческой силой
рвался к насыщенному раствору
полихлорбифенила?

Мчатся эпохи и царства всмятку.
Я за прогресс, не за извозчика,
но атрофированная ее матка
природой больше не воспроизводится!

Вон она в море молит тюремщиков:
«Родить бы тюленчика!
Вы, человеческие сестрицы,
это когда-то и с вами случится!»

Новое явится Благовещенье.
Голубь спланирует к Богородице.
Но отвернется тихая женщина.
Человечество больше не воспроизводится.

",Морская,не указан,сложный,1980,БАЛТИЙСКАЯ ТЮЛЕНИЦА
"

Когда задевает за мозгу мозга,
нырните в бассейн «Москва».

Где алтарь Христа Спасителя,
там кипят водосмесители,
это ад, ад, ад,
это антимаскарад,
на воде вместо Крестителя
наши головы лежат.

Я в аду, жду, жду.
Пробегают на лету
в хлорных клубах
вместо шубок
чемпионки лучших клубов
с дезинфекцией во рту.

В антиплавках дьявол синий
плыл, как вызов наготе,
весь обтянутый резиной,
а где плавки — декольте.

Ад распространяет сырость
на пушкинианский дом,
где в испуге разместилось
общежитие мадонн.

Почему я опускался
на запретнейшее дно,
надевая шапок скальпы?
Видел то, что не дано.

Я лежал на спинке в полночь.
Было страшно и легко.
Я увидел возле поручня
Непорочное лицо.

Ночь морозная сияла
вкруг снесенного Кольца,
словно эхо христианства
или купол без конца.

Недоступное таможне,
что напоминает храм,
что разрушить невозможно
и понять не время нам.

",Молитва,не указан,сложный,1980,БАССЕЙН
"

Я беру тебя на поруки,
перед силами жизни и зла,
перед алчущим оком разлуки,
что уставилась из угла.

Я беру тебя на поруки
из неволи московской тщеты.
Ты — как роща после порубки,
ты мне крикнула: защити!

Отвернутся друзья и подруги.
Чтобы вспыхнуло всё голубым,
беловежскою рюмкой сивухи
головешки в печи угостим.

Затопите печаль в моем доме!
Поет прошлое в кирпичах.
Всё гори синим пламенем, кроме, —
запалите печаль!

В этих пылких поспешных поленьях,
в слове, вырвавшемся, хрипя,
ощущение преступленья,
как сказали бы раньше — греха.

Воли мне не хватало, воли.
Грех, что мы крепостны на треть.
Столько прошлых дров накололи —
хорошо им в печали гореть!

Это пахнет уже не романом —
так бывает пожар и дождь, —
на ночь смывши глаза и румяна,
побледневшая, подойдешь.

А в квартире, забытой тобою,
к прежней жизни твоей подключен,
белым черепом со змеею
будет тщетно шуршать телефон...

В этой егерской баньке бревенчатой,
точно сельские алтари,
мы такою свободой повенчаны —
у тебя есть цыгане в крови.

Я беру тебя на поруки
перед городом и людьми.
Перед ангелом воли и муки
ты меня на поруки возьми.

",Мотив белого,неклассический,сложный,1975.0,БЕЛОВЕЖСКАЯ БАЛЛАДА
"белый котенок в макушке сосны
в зимних потемках белые вопли
слезть не умеет просит сними
воет утопленник

пришла аварийка
он окружен
в «кошках» не влезешь
ствол сверху тонок
сон коротенок
двое с ружьем
воет котенок

может быть вызовем вертолет
ветер гуляет меж наших картонок
совесть поселку спать не дает
спилим сосну
в небе воет котенок

он переходит с сосны на сосну
совести мерзкий комок непутевый
клонит ко сну
еще спилим одну
спилен весь лес

в небе воет котенок

",Сон,не указан,сложный,1991,...
"

Я спросил у Папы Римского:
			   «Вы верите в тарелки?»
Улыбнувшись как нелепости,
				мне ответил Папа:
""Нет"".
И Христос небес касался,
		    легкий, как дуга троллейбуса,
чтоб стекала к нам энергия,
			движа мир две тыщи лет.
В папскую библиотеку
			дух Иванова наведывался.
И шуршал рукав папирусный. Был по времени обед.
Где-то к Висле мчались лебеди.
			Шла сикстинская побелка.
И на дне реки познанья поблескивал стилет.

Пазолини вел на лежбище по Евангелью и Лесбосу.
Боже, где надежда теплится?
				Кому вернуть билет?
Бах ослеп от математики,
		    если только верить Лейбницу.
И сибирской группы «Примус»
			римский выл эквивалент.
Округлив иллюминаторы,
		    в виде супницы и хлебницы
проплыла Капелла Паццы, как летающий объект.

В небесах на телеспутнике
		Си-би-эс сражалась с Эй-би-си.
Жили жалко. Жили мелко. Не было идей.
Землю, как такси по вызову,
			ждала зеленая тарелка.

Кто-то в ней спросил по рации:
«Вы верите в людей?»

",Небо,не указан,простой,1986.0,БЕСЕДА В РИМЕ
"

В чьем ресторане, в чьей стране — не вспомнишь,
но в полночь
есть шесть мужчин, есть стол, есть Новый год,
и женщина разгневанная — бьет!

Быть может, ей не подошла компания,
где взгляды липнут, словно листья банные?
За что — неважно. Значит, им положено —
пошла по рожам, как белье полощут.

Бей, женщина! Бей, милая! Бей, мстящая!
Вмажь майонезом лысому в подтяжках.
Бей, женщина!
Массируй им мордасы!
За все твои грядущие матрасы,

за то, что ты во всем передовая,
что на земле давно матриархат —
отбить,
обуть,
быть умной,
хохотать —
такая мука - непередаваемо!

Влепи ему в паяльник солоницу.
Мужчины, рыцари,
куда ж девались вы?!
Так хочется к кому-то прислониться —
увы...

Бей, реваншистка! Жизнь — как белый танец.
Не он, а ты его, отбивши, тянешь.
Пол-литра купишь.
Как он скучен, хрыч!
Намучишься, пока расшевелишь.

Ну можно ли в жилет пулять мороженым?!
А можно ли
в капронах
ждать в морозы?
Самой восьмого покупать мимозы —
можно?!

Виновные, валитесь на колени,
колонны, люди, лунные аллеи,
вы без нее давно бы околели!
Смотрите,
из-под грязного стола —
она, шатаясь, к зеркалу пошла.

«Ах, зеркало, прохладное стекло,
шепчу в тебя бессвязными словами,
сама к себе губами прислоняюсь
и по тебе сползаю тяжело,

и думаю: трусишки, нету сил —
меня бы кто хотя бы отлупил!..»

",Фигура женщины,не указан,сложный,1964.0,БЬЕТ ЖЕНЩИНА
"

	Л. Б.

Смех без причины —
признак дурачины.
Ещё водочки под кебаб!
Мы — эмансипированные мужчины
без баб.

Часы с вынутою пружиной —
возлежит на тарелке краб.
Тезаурусные мужчины,
мы — без баб.

Слово «безбабье» — ещё в тумане
обретёт суммарно масштаб.
Беседуют же с Богом мусульмане
без баб?

Вот Валера, дилер из Саратова,
с детства несколько косолап,
кто бы знал об его косолапости
без баб?

Или баба — глава издательства.
Получается групп-издат.
И поборы, и издевательства.
Как на лошадь надеть пиджак.

Без болтливости, что не вынести,
без капканчиков вечных «кап-кап» —
без покровительской порно-невинности,
без баб.

Без талантливого придыхания,
без словарного курабье,
дыроколы пока отдыхают
без «б».
Устаёшь от семейной прозы.
Мы беспечны, как семечек лузг.
Без вранья люксембургской Розы —
люкс!

Сжаты в «зебрах» ночные трещины,
достигается беспредел.
Наша жизнь — безрадостиженщина.
Нам без разницы, кто сгорел.

Рядом столик из разносолов —
стольник шефу от поп, сосков,
от восьми длинноногих тёлок
без мужиков.

«На абордаж!» — пронеслось над пабом.
Все рванули на абордаж.
И стол, принадлежавший бабам, —
ножки вверх! — полетел на наш.

И пошло: визг, фуражки крабьи,
зубы на пол, как монпансье...
(Мой котёночек! Ты — мой храбрый!..
Уберите с меня свои грабли!)
Бьют швейцара из ФСБ.
Так накрылась идея безбабья.
Точно клякса под пресс-папье.

Я бездарно иду домой:
все одежды мои развешаны.
Пахнет женщиной распорядок мой.
И стихи мои пахнут женщиной.

Будто в небе открылась брешина.
И мораль, ни фига себе:
«В каждой бабе ищите Женщину!»
Но без «б».

",Фигура женщины,не указан,простой,2008.0,БЕЗ «Б»
"Безоблачное небо.
Вороны черный зонт.
Сверкнул, как ручка, клюв.
Где спрятаться, свернув?

",Мотив черного,не указан,простой,1984.0,...
"

Изменяйте дьяволу, изменяйте черту,
но не изменяйте чувству безотчетному!

Есть в душе у каждого, не всегда отчетливо,
тайное отечество безотчетное.

Женщина замешана в нем темноочевая,
ты — мое отечество безотчетное!

Гуси ль быстротечные вытянут отточие —
это безотчетное, это безотчетное,

осень ли настояна на лесной рябине,
женщины ль постукают четками грибными,

иль перо обронит птица неученая —
как письмо в отечестве безотчетное...

Шинами обуетесь, мантией почетною —
только не обучитесь безотчетному.

Без него вы маетесь, точно безотцовщина,
значит, начинается безотчетное.

Это безотчетное, безотчетное
над рисковой пропастью вам пройти
				 нашептывает...

Когда черти с хохотом
		     вас подвесят за ноги,
«Что еще вам хочется?» — спросят вас под
					занавес.

— Дайте света белого,
		     дайте хлеба черного
и еще отечество безотчетное!

",Фигура женщины,не указан,сложный,1979,БЕЗОТЧЕТНОЕ
"Беззвучный цвет — весь состоит из звука,
в нем слышится небесная разлука.
От этих мук Ван Гог отрезал ухо.

Пустынный дом наполнен голосами.
Они поют и пахнут круассаном.
Прислушайтесь — кайф колоссальный!

Как медленно ползет стрела из лука!
Скучна мне скорость света или звука.
Лишь скорость мысли — сказочная штука!

Казука молча фору даст базукам.
Не без харизмы распевает щука.
И я, безукоризненная сука,
бужу тебя любовью, а не звуком.

",Молитва,не указан,простой,1999.0,...
"

Постамент — Рейхстаг. Мать его растак!
Стяг пронёс рядовой Кантария.
Мы сменили стяг. Это нам пустяк.
Но душа — навек благодарная.

Благодарствую, русский мой народ.
Я за то тебе благодарствую,
что твой принцип делать наоборот
не усёк урод государственный.

Раза три приходилось меня спасать —
времена для нас были трудные.
Но тебе спасать было как поссать —
вещь интимная, неприлюдная.

Благодарен Тебе — твой неясный след
точно раннее рандеву.
Рандевушки нет, но рандевушки свет
отпечатался наяву.

Я студентиков благодарствую
постгодаровских и т.п.
В свете творческих их катарсисов
Ты в веночке из трав лекарственных —
жив я благодаря Тебе.

",Душа,не указан,сложный,2008.0,БЛАГОДАРСТВИЕ
"

Я на болотной тропе вечерней
встретил бобра. Он заплакал вхлюп.
Ручкой стоп-крана торчал плачевно
красной эмали передний зуб.

Вставши на ласты, наморщась жалко
(у них чешуйчатые хвосты),
хлещет усатейшая русалка.
Ну, пропусти! Ну, пропусти!

(Метод нашли, ревуны коварные.
Стоит затронуть их закуток,
выйдут и плачут
	пред экскаватором —
экскаваторщик наутек!

Выйдут семейкой и лапки сложат,
и заслонят от мотора кров.
«Ваша сила —
	а наши слезы.
Рев — на рев!»)

В глазках старенького ребенка
слезы стоят на моем пути.
Ты что — уличная колонка?
Ну, пропусти, ну, пропусти!

Может, рыдал, что вода уходит?
Может, иное молил спасти?
Может быть, мстил за разор угодий!
Слезы стоят на моем пути.

Что же коленки мои ослабли?
Не останавливали пока
ни телефонные Ярославны,
ни бесноватые слезы царька.

Или же заводи и речишник
вышли дорогу не уступать,
вынесли
	плачущий
		Образ Пречистый
чтоб я опомнился, супостат?

Будьте бобры, мои годы и долы,
не для печали, а для борьбы,
встречные
	плакальщики
		укора,
будьте бобры, будьте бобры!

Непреступаемая для поступи,
непреступаемая стезя,
непреступаемая — о господи! —
непреступаемая слеза...

Я его крыл. Я дубасил палкой.
Я повернулся назад в сердцах.
Но за спиной моей новый плакал —
непроходимый другой в слезах.

",Прощение,не указан,простой,1972.0,Бобровый плач
